subject,age,gender,group,block,trial,block_trial,trial_type,door_select,extreme_outcome,choice_loc,reward_amount,cumulative_reward,ITI
128,19,M,2,1,1,1,single,fixed_high,0,R,60,60,2000
128,19,M,2,1,2,2,catch,fixed_low,0,R,20,80,2000
128,19,M,2,1,3,3,single,risky_high,1,L,80,160,1000
128,19,M,2,1,4,4,single,risky_low,1,L,0,160,1000
128,19,M,2,1,5,5,decision,risky_high,0,L,40,200,1000
128,19,M,2,1,6,6,single,fixed_high,0,R,60,260,1000
128,19,M,2,1,7,7,single,risky_low,0,L,40,300,1000
128,19,M,2,1,8,8,catch,fixed_low,0,R,20,320,1000
128,19,M,2,1,9,9,decision,fixed_high,0,L,60,380,1000
128,19,M,2,1,10,10,single,fixed_high,0,L,60,440,1000
128,19,M,2,1,11,11,decision,risky_low,0,L,40,480,2000
128,19,M,2,1,12,12,decision,fixed_low,0,R,20,500,2000
128,19,M,2,1,13,13,single,fixed_low,0,R,20,520,1000
128,19,M,2,1,14,14,single,risky_high,1,R,80,600,1000
128,19,M,2,1,15,15,single,fixed_high,0,L,60,660,2000
128,19,M,2,1,16,16,catch,risky_high,0,R,40,700,2000
128,19,M,2,1,17,17,single,fixed_low,0,R,20,720,1000
128,19,M,2,1,18,18,single,risky_high,0,L,40,760,1000
128,19,M,2,1,19,19,decision,risky_low,0,L,40,800,2000
128,19,M,2,1,20,20,decision,fixed_low,0,L,20,820,1000
128,19,M,2,1,21,21,single,risky_low,0,L,40,860,1000
128,19,M,2,1,22,22,single,fixed_low,0,L,20,880,1000
128,19,M,2,1,23,23,single,risky_high,0,R,40,920,1000
128,19,M,2,1,24,24,single,risky_high,0,L,40,960,2000
128,19,M,2,1,25,25,single,fixed_low,0,L,20,980,2000
128,19,M,2,1,26,26,single,risky_low,1,L,0,980,2000
128,19,M,2,1,27,27,decision,fixed_high,0,L,60,1040,1000
128,19,M,2,1,28,28,single,fixed_high,0,L,60,1100,2000
128,19,M,2,1,29,29,decision,fixed_high,0,L,60,1160,1000
128,19,M,2,1,30,30,single,risky_high,0,L,40,1200,2000
128,19,M,2,1,31,31,decision,risky_low,0,L,40,1240,1000
128,19,M,2,1,32,32,single,fixed_high,0,L,60,1300,2000
128,19,M,2,1,33,33,single,fixed_high,0,R,60,1360,2000
128,19,M,2,1,34,34,decision,fixed_high,0,R,60,1420,1000
128,19,M,2,1,35,35,single,risky_low,0,L,40,1460,1000
128,19,M,2,1,36,36,decision,risky_low,0,R,40,1500,2000
128,19,M,2,1,37,37,catch,fixed_high,0,L,60,1560,2000
128,19,M,2,1,38,38,catch,risky_low,0,R,40,1600,1000
128,19,M,2,1,39,39,single,fixed_low,0,L,20,1620,1000
128,19,M,2,1,40,40,catch,fixed_high,0,R,60,1680,1000
128,19,M,2,1,41,41,decision,fixed_high,0,L,60,1740,2000
128,19,M,2,1,42,42,decision,fixed_high,0,R,60,1800,2000
128,19,M,2,1,43,43,decision,fixed_high,0,R,60,1860,1000
128,19,M,2,1,44,44,single,risky_low,0,R,40,1900,1000
128,19,M,2,1,45,45,decision,fixed_high,0,R,60,1960,2000
128,19,M,2,1,46,46,catch,risky_high,0,R,40,2000,1000
128,19,M,2,1,47,47,single,fixed_low,0,R,20,2020,1000
128,19,M,2,1,48,48,single,fixed_high,0,R,60,2080,1000
128,19,M,2,1,49,49,catch,fixed_high,0,R,60,2140,2000
128,19,M,2,1,50,50,single,fixed_high,0,L,60,2200,2000
128,19,M,2,1,51,51,single,fixed_low,0,L,20,2220,1000
128,19,M,2,1,52,52,decision,fixed_high,0,L,60,2280,2000
128,19,M,2,1,53,53,decision,risky_low,0,R,40,2320,2000
128,19,M,2,1,54,54,single,fixed_low,0,R,20,2340,1000
128,19,M,2,1,55,55,catch,fixed_high,0,L,60,2400,2000
128,19,M,2,1,56,56,catch,fixed_high,0,L,60,2460,1000
128,19,M,2,1,57,57,decision,fixed_high,0,R,60,2520,2000
128,19,M,2,1,58,58,single,fixed_low,0,L,20,2540,2000
128,19,M,2,1,59,59,single,risky_high,1,R,80,2620,2000
128,19,M,2,1,60,60,single,fixed_low,0,R,20,2640,2000
128,19,M,2,1,61,61,single,risky_low,0,R,40,2680,2000
128,19,M,2,1,62,62,decision,risky_high,0,R,40,2720,2000
128,19,M,2,1,63,63,catch,fixed_high,0,L,60,2780,2000
128,19,M,2,1,64,64,catch,fixed_high,0,R,60,2840,2000
128,19,M,2,1,65,65,catch,risky_high,0,R,40,2880,2000
128,19,M,2,1,66,66,decision,fixed_low,0,L,20,2900,1000
128,19,M,2,1,67,67,single,risky_high,0,L,40,2940,2000
128,19,M,2,1,68,68,catch,risky_high,0,R,40,2980,2000
128,19,M,2,1,69,69,decision,risky_low,1,L,0,2980,1000
128,19,M,2,1,70,70,catch,risky_high,0,L,40,3020,1000
128,19,M,2,1,71,71,catch,fixed_high,0,R,60,3080,2000
128,19,M,2,1,72,72,decision,risky_low,0,R,40,3120,1000
128,19,M,2,1,73,73,single,risky_low,1,R,0,3120,1000
128,19,M,2,1,74,74,decision,fixed_low,0,R,20,3140,2000
128,19,M,2,1,75,75,single,risky_high,0,R,40,3180,2000
128,19,M,2,1,76,76,single,risky_low,0,R,40,3220,2000
128,19,M,2,1,77,77,single,fixed_high,0,R,60,3280,2000
128,19,M,2,1,78,78,single,risky_low,0,R,40,3320,2000
128,19,M,2,1,79,79,single,risky_high,0,R,40,3360,1000
128,19,M,2,1,80,80,decision,risky_low,0,R,40,3400,1000
128,19,M,2,2,81,1,single,fixed_high,0,R,60,3460,1000
128,19,M,2,2,82,2,decision,risky_low,0,L,40,3500,2000
128,19,M,2,2,83,3,single,fixed_high,0,R,60,3560,2000
128,19,M,2,2,84,4,catch,fixed_high,0,R,60,3620,2000
128,19,M,2,2,85,5,decision,risky_low,0,L,40,3660,1000
128,19,M,2,2,86,6,single,fixed_low,0,L,20,3680,1000
128,19,M,2,2,87,7,single,risky_high,1,L,80,3760,2000
128,19,M,2,2,88,8,decision,risky_high,0,L,40,3800,2000
128,19,M,2,2,89,9,catch,risky_high,0,R,40,3840,2000
128,19,M,2,2,90,10,catch,risky_high,0,L,40,3880,2000
128,19,M,2,2,91,11,single,risky_low,1,R,0,3880,2000
128,19,M,2,2,92,12,decision,fixed_high,0,L,60,3940,2000
128,19,M,2,2,93,13,single,fixed_low,0,R,20,3960,2000
128,19,M,2,2,94,14,single,fixed_low,0,L,20,3980,2000
128,19,M,2,2,95,15,single,risky_low,0,L,40,4020,1000
128,19,M,2,2,96,16,single,fixed_low,0,R,20,4040,1000
128,19,M,2,2,97,17,single,fixed_high,0,R,60,4100,2000
128,19,M,2,2,98,18,catch,risky_high,1,R,80,4180,2000
128,19,M,2,2,99,19,single,fixed_low,0,R,20,4200,1000
128,19,M,2,2,100,20,single,risky_high,0,L,40,4240,2000
128,19,M,2,2,101,21,decision,risky_low,0,R,40,4280,1000
128,19,M,2,2,102,22,decision,fixed_high,0,R,60,4340,1000
128,19,M,2,2,103,23,single,fixed_low,0,R,20,4360,2000
128,19,M,2,2,104,24,single,fixed_high,0,L,60,4420,2000
128,19,M,2,2,105,25,single,risky_high,1,R,80,4500,2000
128,19,M,2,2,106,26,catch,risky_high,0,R,40,4540,1000
128,19,M,2,2,107,27,single,risky_low,0,R,40,4580,2000
128,19,M,2,2,108,28,single,risky_high,0,L,40,4620,2000
128,19,M,2,2,109,29,decision,risky_low,0,R,40,4660,1000
128,19,M,2,2,110,30,catch,fixed_high,0,L,60,4720,2000
128,19,M,2,2,111,31,single,risky_low,1,R,0,4720,1000
128,19,M,2,2,112,32,single,risky_high,1,R,80,4800,1000
128,19,M,2,2,113,33,decision,fixed_high,0,R,60,4860,2000
128,19,M,2,2,114,34,decision,risky_low,0,R,40,4900,2000
128,19,M,2,2,115,35,single,risky_high,1,R,80,4980,2000
128,19,M,2,2,116,36,catch,risky_high,0,L,40,5020,2000
128,19,M,2,2,117,37,decision,risky_high,1,L,80,5100,1000
128,19,M,2,2,118,38,decision,fixed_high,0,L,60,5160,1000
128,19,M,2,2,119,39,single,risky_low,1,R,0,5160,1000
128,19,M,2,2,120,40,decision,risky_low,1,L,0,5160,2000
128,19,M,2,2,121,41,single,fixed_high,0,L,60,5220,1000
128,19,M,2,2,122,42,decision,fixed_low,0,R,20,5240,2000
128,19,M,2,2,123,43,single,fixed_low,0,R,20,5260,1000
128,19,M,2,2,124,44,single,fixed_high,0,L,60,5320,2000
128,19,M,2,2,125,45,catch,risky_high,0,L,40,5360,1000
128,19,M,2,2,126,46,decision,risky_high,0,R,40,5400,2000
128,19,M,2,2,127,47,single,risky_low,1,R,0,5400,1000
128,19,M,2,2,128,48,catch,fixed_high,0,L,60,5460,1000
128,19,M,2,2,129,49,single,fixed_low,0,L,20,5480,1000
128,19,M,2,2,130,50,decision,risky_low,1,L,0,5480,2000
128,19,M,2,2,131,51,single,risky_high,1,L,80,5560,2000
128,19,M,2,2,132,52,decision,risky_high,1,L,80,5640,1000
128,19,M,2,2,133,53,single,risky_high,1,R,80,5720,1000
128,19,M,2,2,134,54,catch,fixed_high,0,L,60,5780,2000
128,19,M,2,2,135,55,catch,risky_high,0,R,40,5820,2000
128,19,M,2,2,136,56,single,risky_low,0,L,40,5860,2000
128,19,M,2,2,137,57,single,risky_low,1,L,0,5860,2000
128,19,M,2,2,138,58,decision,fixed_high,0,R,60,5920,2000
128,19,M,2,2,139,59,decision,risky_low,1,R,0,5920,1000
128,19,M,2,2,140,60,single,fixed_low,0,L,20,5940,1000
128,19,M,2,2,141,61,decision,fixed_low,0,L,20,5960,2000
128,19,M,2,2,142,62,single,fixed_high,0,L,60,6020,2000
128,19,M,2,2,143,63,catch,fixed_high,0,R,60,6080,1000
128,19,M,2,2,144,64,catch,risky_high,1,L,80,6160,2000
128,19,M,2,2,145,65,decision,fixed_high,0,L,60,6220,2000
128,19,M,2,2,146,66,decision,fixed_high,0,L,60,6280,2000
128,19,M,2,2,147,67,catch,fixed_high,0,L,60,6340,2000
128,19,M,2,2,148,68,catch,fixed_high,0,R,60,6400,1000
128,19,M,2,2,149,69,single,risky_low,0,L,40,6440,2000
128,19,M,2,2,150,70,single,risky_high,1,R,80,6520,2000
128,19,M,2,2,151,71,decision,fixed_high,0,L,60,6580,1000
128,19,M,2,2,152,72,single,fixed_low,0,L,20,6600,1000
128,19,M,2,2,153,73,single,risky_low,0,L,40,6640,1000
128,19,M,2,2,154,74,single,fixed_high,0,L,60,6700,2000
128,19,M,2,2,155,75,decision,risky_low,1,R,0,6700,1000
128,19,M,2,2,156,76,single,fixed_high,0,R,60,6760,2000
128,19,M,2,2,157,77,catch,fixed_high,0,R,60,6820,1000
128,19,M,2,2,158,78,single,fixed_high,0,R,60,6880,1000
128,19,M,2,2,159,79,decision,fixed_low,0,R,20,6900,2000
128,19,M,2,2,160,80,single,risky_high,1,L,80,6980,2000
128,19,M,2,3,161,1,decision,fixed_high,0,L,60,7040,2000
128,19,M,2,3,162,2,decision,risky_high,0,R,40,7080,1000
128,19,M,2,3,163,3,decision,fixed_low,0,L,20,7100,1000
128,19,M,2,3,164,4,catch,risky_high,1,R,80,7180,2000
128,19,M,2,3,165,5,single,fixed_high,0,R,60,7240,2000
128,19,M,2,3,166,6,decision,fixed_low,0,L,20,7260,1000
128,19,M,2,3,167,7,single,risky_high,1,R,80,7340,1000
128,19,M,2,3,168,8,catch,fixed_high,0,R,60,7400,2000
128,19,M,2,3,169,9,single,risky_low,1,R,0,7400,1000
128,19,M,2,3,170,10,decision,risky_high,1,R,80,7480,1000
128,19,M,2,3,171,11,single,risky_high,1,L,80,7560,1000
128,19,M,2,3,172,12,decision,fixed_low,0,R,20,7580,2000
128,19,M,2,3,173,13,catch,fixed_high,0,R,60,7640,2000
128,19,M,2,3,174,14,single,fixed_low,0,R,20,7660,2000
128,19,M,2,3,175,15,single,risky_low,1,R,0,7660,2000
128,19,M,2,3,176,16,single,risky_low,0,R,40,7700,2000
128,19,M,2,3,177,17,decision,fixed_low,0,L,20,7720,2000
128,19,M,2,3,178,18,decision,risky_low,1,R,0,7720,1000
128,19,M,2,3,179,19,catch,risky_high,1,L,80,7800,1000
128,19,M,2,3,180,20,decision,fixed_low,0,R,20,7820,1000
128,19,M,2,3,181,21,decision,fixed_low,0,L,20,7840,1000
128,19,M,2,3,182,22,catch,risky_high,1,R,80,7920,1000
128,19,M,2,3,183,23,single,fixed_low,0,L,20,7940,2000
128,19,M,2,3,184,24,single,fixed_high,0,R,60,8000,1000
128,19,M,2,3,185,25,single,risky_low,1,L,0,8000,1000
128,19,M,2,3,186,26,single,risky_low,1,R,0,8000,2000
128,19,M,2,3,187,27,catch,risky_high,0,R,40,8040,1000
128,19,M,2,3,188,28,decision,fixed_low,0,R,20,8060,2000
128,19,M,2,3,189,29,single,fixed_low,0,R,20,8080,1000
128,19,M,2,3,190,30,catch,fixed_high,0,R,60,8140,1000
128,19,M,2,3,191,31,single,risky_low,1,L,0,8140,1000
128,19,M,2,3,192,32,decision,risky_high,1,L,80,8220,1000
128,19,M,2,3,193,33,decision,fixed_high,0,L,60,8280,2000
128,19,M,2,3,194,34,decision,risky_high,1,L,80,8360,1000
128,19,M,2,3,195,35,single,risky_low,0,L,40,8400,1000
128,19,M,2,3,196,36,catch,fixed_high,0,L,60,8460,2000
128,19,M,2,3,197,37,single,fixed_high,0,L,60,8520,1000
128,19,M,2,3,198,38,decision,risky_high,1,L,80,8600,2000
128,19,M,2,3,199,39,single,fixed_low,0,R,20,8620,1000
128,19,M,2,3,200,40,decision,fixed_low,0,R,20,8640,1000
128,19,M,2,3,201,41,single,fixed_low,0,R,20,8660,1000
128,19,M,2,3,202,42,catch,fixed_high,0,L,60,8720,2000
128,19,M,2,3,203,43,catch,risky_high,1,L,80,8800,2000
128,19,M,2,3,204,44,single,fixed_low,0,L,20,8820,2000
128,19,M,2,3,205,45,catch,risky_high,1,R,80,8900,2000
128,19,M,2,3,206,46,single,risky_high,1,L,80,8980,1000
128,19,M,2,3,207,47,single,fixed_high,0,L,60,9040,1000
128,19,M,2,3,208,48,single,fixed_high,0,R,60,9100,2000
128,19,M,2,3,209,49,single,risky_high,1,L,80,9180,2000
128,19,M,2,3,210,50,single,risky_high,0,R,40,9220,2000
128,19,M,2,3,211,51,single,fixed_high,0,R,60,9280,1000
128,19,M,2,3,212,52,catch,risky_high,1,L,80,9360,1000
128,19,M,2,3,213,53,single,risky_high,0,R,40,9400,1000
128,19,M,2,3,214,54,single,fixed_high,0,L,60,9460,2000
128,19,M,2,3,215,55,single,fixed_low,0,R,20,9480,1000
128,19,M,2,3,216,56,single,fixed_high,0,L,60,9540,2000
128,19,M,2,3,217,57,single,risky_low,1,L,0,9540,2000
128,19,M,2,3,218,58,catch,risky_high,1,L,80,9620,1000
128,19,M,2,3,219,59,single,risky_low,1,L,0,9620,2000
128,19,M,2,3,220,60,single,fixed_high,0,R,60,9680,1000
128,19,M,2,3,221,61,catch,fixed_high,0,L,60,9740,1000
128,19,M,2,3,222,62,single,risky_high,1,R,80,9820,1000
128,19,M,2,3,223,63,decision,risky_high,0,L,40,9860,2000
128,19,M,2,3,224,64,decision,risky_high,1,L,80,9940,1000
128,19,M,2,3,225,65,decision,fixed_low,0,L,20,9960,1000
128,19,M,2,3,226,66,decision,risky_high,1,L,80,10040,2000
128,19,M,2,3,227,67,single,fixed_low,0,L,20,10060,1000
128,19,M,2,3,228,68,single,risky_high,1,L,80,10140,1000
128,19,M,2,3,229,69,single,risky_high,1,L,80,10220,1000
128,19,M,2,3,230,70,catch,fixed_high,0,R,60,10280,1000
128,19,M,2,3,231,71,decision,fixed_high,0,L,60,10340,1000
128,19,M,2,3,232,72,single,risky_high,1,R,80,10420,1000
128,19,M,2,3,233,73,single,fixed_low,0,L,20,10440,1000
128,19,M,2,3,234,74,single,risky_low,1,R,0,10440,1000
128,19,M,2,3,235,75,catch,fixed_high,0,L,60,10500,2000
128,19,M,2,3,236,76,single,fixed_high,0,L,60,10560,1000
128,19,M,2,3,237,77,single,fixed_low,0,L,20,10580,2000
128,19,M,2,3,238,78,decision,fixed_low,0,R,20,10600,1000
128,19,M,2,3,239,79,decision,fixed_high,0,L,60,10660,1000
128,19,M,2,3,240,80,decision,fixed_low,0,R,20,10680,2000
128,19,M,2,4,241,1,single,risky_low,0,L,40,10720,1000
128,19,M,2,4,242,2,single,fixed_high,0,R,60,10780,2000
128,19,M,2,4,243,3,decision,risky_low,1,R,0,10780,2000
128,19,M,2,4,244,4,decision,risky_high,0,L,40,10820,1000
128,19,M,2,4,245,5,decision,risky_high,0,R,40,10860,1000
128,19,M,2,4,246,6,single,risky_low,1,R,0,10860,2000
128,19,M,2,4,247,7,single,fixed_high,0,R,60,10920,1000
128,19,M,2,4,248,8,single,risky_low,0,R,40,10960,2000
128,19,M,2,4,249,9,catch,fixed_high,0,R,60,11020,2000
128,19,M,2,4,250,10,single,risky_high,1,R,80,11100,1000
128,19,M,2,4,251,11,decision,fixed_low,0,R,20,11120,2000
128,19,M,2,4,252,12,catch,fixed_high,0,L,60,11180,1000
128,19,M,2,4,253,13,single,risky_high,0,R,40,11220,1000
128,19,M,2,4,254,14,decision,risky_high,0,L,40,11260,1000
128,19,M,2,4,255,15,catch,fixed_high,0,L,60,11320,2000
128,19,M,2,4,256,16,decision,fixed_high,0,R,60,11380,1000
128,19,M,2,4,257,17,catch,risky_high,1,L,80,11460,1000
128,19,M,2,4,258,18,single,fixed_high,0,R,60,11520,2000
128,19,M,2,4,259,19,decision,fixed_low,0,L,20,11540,1000
128,19,M,2,4,260,20,single,fixed_low,0,L,20,11560,2000
128,19,M,2,4,261,21,single,fixed_low,0,R,20,11580,2000
128,19,M,2,4,262,22,catch,fixed_high,0,R,60,11640,1000
128,19,M,2,4,263,23,decision,fixed_low,0,R,20,11660,1000
128,19,M,2,4,264,24,single,risky_high,1,R,80,11740,1000
128,19,M,2,4,265,25,decision,fixed_low,0,R,20,11760,2000
128,19,M,2,4,266,26,single,fixed_high,0,L,60,11820,1000
128,19,M,2,4,267,27,catch,risky_high,1,R,80,11900,2000
128,19,M,2,4,268,28,decision,fixed_high,0,L,60,11960,1000
128,19,M,2,4,269,29,single,risky_low,0,L,40,12000,1000
128,19,M,2,4,270,30,single,fixed_low,0,R,20,12020,2000
128,19,M,2,4,271,31,decision,risky_high,1,R,80,12100,1000
128,19,M,2,4,272,32,single,fixed_high,0,L,60,12160,2000
128,19,M,2,4,273,33,single,fixed_high,0,L,60,12220,2000
128,19,M,2,4,274,34,single,risky_high,0,L,40,12260,2000
128,19,M,2,4,275,35,decision,risky_high,0,R,40,12300,2000
128,19,M,2,4,276,36,single,risky_high,0,L,40,12340,1000
128,19,M,2,4,277,37,single,fixed_low,0,L,20,12360,2000
128,19,M,2,4,278,38,single,risky_low,1,R,0,12360,2000
128,19,M,2,4,279,39,catch,fixed_high,0,R,60,12420,1000
128,19,M,2,4,280,40,single,fixed_low,0,L,20,12440,2000
128,19,M,2,4,281,41,catch,fixed_high,0,R,60,12500,1000
128,19,M,2,4,282,42,single,risky_low,0,R,40,12540,2000
128,19,M,2,4,283,43,decision,fixed_low,0,R,20,12560,2000
128,19,M,2,4,284,44,single,risky_high,1,L,80,12640,2000
128,19,M,2,4,285,45,single,risky_low,1,L,0,12640,1000
128,19,M,2,4,286,46,single,risky_low,1,R,0,12640,2000
128,19,M,2,4,287,47,decision,fixed_high,0,L,60,12700,1000
128,19,M,2,4,288,48,single,fixed_low,0,R,20,12720,1000
128,19,M,2,4,289,49,single,fixed_high,0,L,60,12780,1000
128,19,M,2,4,290,50,single,fixed_high,0,L,60,12840,2000
128,19,M,2,4,291,51,single,risky_low,1,L,0,12840,1000
128,19,M,2,4,292,52,decision,fixed_low,0,R,20,12860,1000
128,19,M,2,4,293,53,catch,risky_high,0,L,40,12900,1000
128,19,M,2,4,294,54,decision,fixed_low,0,L,20,12920,2000
128,19,M,2,4,295,55,single,fixed_high,0,R,60,12980,1000
128,19,M,2,4,296,56,catch,risky_high,1,L,80,13060,1000
128,19,M,2,4,297,57,single,fixed_low,0,L,20,13080,1000
128,19,M,2,4,298,58,single,risky_low,0,L,40,13120,1000
128,19,M,2,4,299,59,single,fixed_low,0,R,20,13140,2000
128,19,M,2,4,300,60,decision,risky_high,1,L,80,13220,1000
128,19,M,2,4,301,61,single,risky_high,0,L,40,13260,2000
128,19,M,2,4,302,62,catch,risky_high,0,R,40,13300,2000
128,19,M,2,4,303,63,decision,fixed_low,0,L,20,13320,2000
128,19,M,2,4,304,64,single,risky_high,1,R,80,13400,1000
128,19,M,2,4,305,65,decision,risky_high,1,L,80,13480,1000
128,19,M,2,4,306,66,single,risky_high,0,R,40,13520,1000
128,19,M,2,4,307,67,catch,risky_high,1,R,80,13600,2000
128,19,M,2,4,308,68,decision,fixed_low,0,L,20,13620,1000
128,19,M,2,4,309,69,decision,risky_low,0,L,40,13660,2000
128,19,M,2,4,310,70,decision,fixed_high,0,L,60,13720,1000
128,19,M,2,4,311,71,catch,fixed_high,0,L,60,13780,1000
128,19,M,2,4,312,72,single,fixed_low,0,L,20,13800,2000
128,19,M,2,4,313,73,single,risky_high,0,L,40,13840,2000
128,19,M,2,4,314,74,decision,risky_high,0,L,40,13880,2000
128,19,M,2,4,315,75,single,fixed_high,0,R,60,13940,2000
128,19,M,2,4,316,76,catch,risky_high,1,R,80,14020,2000
128,19,M,2,4,317,77,decision,fixed_low,0,L,20,14040,1000
128,19,M,2,4,318,78,catch,risky_high,1,L,80,14120,2000
128,19,M,2,4,319,79,catch,fixed_high,0,L,60,14180,1000
128,19,M,2,4,320,80,single,fixed_low,0,R,20,14200,1000
128,19,M,2,5,321,1,decision,risky_low,0,R,40,14240,2000
128,19,M,2,5,322,2,single,risky_low,1,L,0,14240,2000
128,19,M,2,5,323,3,catch,fixed_high,0,L,60,14300,2000
128,19,M,2,5,324,4,single,fixed_low,0,R,20,14320,1000
128,19,M,2,5,325,5,single,fixed_high,0,L,60,14380,2000
128,19,M,2,5,326,6,decision,risky_low,1,L,0,14380,2000
128,19,M,2,5,327,7,decision,risky_high,0,L,40,14420,1000
128,19,M,2,5,328,8,decision,fixed_low,0,R,20,14440,2000
128,19,M,2,5,329,9,decision,fixed_high,0,L,60,14500,2000
128,19,M,2,5,330,10,single,fixed_high,0,R,60,14560,1000
128,19,M,2,5,331,11,decision,risky_high,1,L,80,14640,2000
128,19,M,2,5,332,12,single,risky_low,0,R,40,14680,1000
128,19,M,2,5,333,13,catch,risky_high,0,R,40,14720,2000
128,19,M,2,5,334,14,decision,fixed_low,0,L,20,14740,1000
128,19,M,2,5,335,15,catch,risky_high,0,R,40,14780,1000
128,19,M,2,5,336,16,decision,fixed_low,0,R,20,14800,2000
128,19,M,2,5,337,17,catch,fixed_high,0,R,60,14860,1000
128,19,M,2,5,338,18,catch,risky_high,1,R,80,14940,1000
128,19,M,2,5,339,19,single,fixed_low,0,L,20,14960,1000
128,19,M,2,5,340,20,single,fixed_high,0,R,60,15020,1000
128,19,M,2,5,341,21,decision,fixed_low,0,R,20,15040,2000
128,19,M,2,5,342,22,single,fixed_high,0,L,60,15100,2000
128,19,M,2,5,343,23,decision,risky_high,0,L,40,15140,2000
128,19,M,2,5,344,24,single,risky_high,1,R,80,15220,1000
128,19,M,2,5,345,25,single,risky_low,0,L,40,15260,1000
128,19,M,2,5,346,26,decision,fixed_low,0,L,20,15280,2000
128,19,M,2,5,347,27,decision,fixed_high,0,L,60,15340,2000
128,19,M,2,5,348,28,decision,fixed_low,0,L,20,15360,2000
128,19,M,2,5,349,29,catch,fixed_high,0,R,60,15420,1000
128,19,M,2,5,350,30,single,fixed_high,0,R,60,15480,2000
128,19,M,2,5,351,31,single,fixed_high,0,L,60,15540,1000
128,19,M,2,5,352,32,single,fixed_low,0,L,20,15560,2000
128,19,M,2,5,353,33,decision,fixed_low,0,R,20,15580,2000
128,19,M,2,5,354,34,catch,risky_high,1,R,80,15660,1000
128,19,M,2,5,355,35,decision,fixed_high,0,L,60,15720,1000
128,19,M,2,5,356,36,single,risky_high,1,L,80,15800,1000
128,19,M,2,5,357,37,single,fixed_high,0,R,60,15860,2000
128,19,M,2,5,358,38,single,risky_high,1,L,80,15940,2000
128,19,M,2,5,359,39,single,fixed_high,0,R,60,16000,1000
128,19,M,2,5,360,40,catch,fixed_high,0,L,60,16060,1000
128,19,M,2,5,361,41,decision,risky_high,0,L,40,16100,1000
128,19,M,2,5,362,42,catch,fixed_high,0,L,60,16160,1000
128,19,M,2,5,363,43,single,risky_low,1,L,0,16160,1000
128,19,M,2,5,364,44,single,fixed_high,0,L,60,16220,1000
128,19,M,2,5,365,45,catch,risky_high,1,L,80,16300,2000
128,19,M,2,5,366,46,catch,risky_high,0,L,40,16340,1000
128,19,M,2,5,367,47,single,risky_low,0,R,40,16380,1000
128,19,M,2,5,368,48,single,risky_low,1,R,0,16380,2000
128,19,M,2,5,369,49,single,fixed_low,0,R,20,16400,1000
128,19,M,2,5,370,50,single,risky_high,0,L,40,16440,1000
128,19,M,2,5,371,51,single,fixed_low,0,R,20,16460,2000
128,19,M,2,5,372,52,decision,NA,0,NA,NA,NA,NA
